"Id","Category","Severity","Finding","Count","Risk","Recommendation"
"IAM-001","Identity Hygiene","High","Disabled accounts present","5","Disabled accounts may retain access and can be re-enabled later with stale permissions.","Review disabled accounts monthly and remove group memberships during offboarding."
"IAM-003","Identity Hygiene","Medium","Users missing department attribute","3","Missing attributes weaken lifecycle automation and governance scoping.","Enforce department attributes during onboarding."
"IAM-004","Identity Hygiene","Low","Users missing job title attribute","3","Missing job titles reduce audit and reporting quality.","Require complete HR source-of-truth data."
"IAM-005","Identity Hygiene","High","Enabled users with no recorded sign-in activity","203","Never-used enabled accounts can represent stale or orphaned access.","Review and disable accounts with no legitimate usage."
"IAM-008","Access Governance","High","Users with excessive group memberships","5","Excessive access increases blast radius and violates least privilege.","Review memberships and move access into structured access packages."
"IAM-009","Application Governance","Critical","Ownerless application registrations","5","Ownerless apps lack accountability for permissions, secrets, and lifecycle.","Assign owners and include apps in quarterly reviews."
"IAM-012","Privileged Access","Critical","Privileged role assignments discovered","10","Standing privileged roles increase compromise impact.","Move admins to PIM eligible assignments and review quarterly."
"IAM-013","Privileged Access","Critical","Disabled accounts with privileged roles","1","Disabled privileged accounts may regain admin access if re-enabled.","Remove all privileged roles from disabled accounts immediately."
"IAM-014","Privileged Access","Critical","Non-IT/Security users with privileged roles","6","Privileged access outside expected teams indicates role sprawl.","Remove inappropriate roles and enforce separation of duties."
"IAM-015","Privileged Access","Critical","Users with multiple privileged roles","1","Multi-role admins increase privilege concentration and separation-of-duties risk.","Reduce role stacking and use JIT activation."
